cvi_name,candidate_id,month,group,count
Detroit Peoples Community,CAND_0108,2022-11-01,Matched Control,0
Detroit Peoples Community,CAND_0108,2022-12-01,CVI,6
Detroit Peoples Community,CAND_0108,2022-12-01,Matched Control,0
Detroit Peoples Community,CAND_0108,2023-01-01,CVI,5
Detroit Peoples Community,CAND_0108,2023-01-01,Matched Control,0
Detroit Peoples Community,CAND_0108,2023-02-01,CVI,4
Detroit Peoples Community,CAND_0108,2023-02-01,Matched Control,1
Detroit Peoples Community,CAND_0108,2023-03-01,CVI,2
Detroit Peoples Community,CAND_0108,2023-03-01,Matched Control,0
Detroit Peoples Community,CAND_0108,2023-04-01,CVI,1
Detroit Peoples Community,CAND_0108,2023-04-01,Matched Control,2
Detroit Peoples Community,CAND_0108,2023-05-01,CVI,5
Detroit Peoples Community,CAND_0108,2023-05-01,Matched Control,0
Detroit Peoples Community,CAND_0108,2023-06-01,CVI,2
Detroit Peoples Community,CAND_0108,2023-06-01,Matched Control,0
Detroit Peoples Community,CAND_0108,2023-07-01,CVI,5
Detroit Peoples Community,CAND_0108,2023-07-01,Matched Control,0
Force Detroit,CAND_0213,2021-01-01,CVI,4
Force Detroit,CAND_0213,2021-01-01,Matched Control,0
Force Detroit,CAND_0213,2021-02-01,CVI,2
Force Detroit,CAND_0213,2021-02-01,Matched Control,1
Force Detroit,CAND_0213,2021-03-01,CVI,4
Force Detroit,CAND_0213,2021-03-01,Matched Control,4
Force Detroit,CAND_0213,2021-04-01,CVI,7
Force Detroit,CAND_0213,2021-04-01,Matched Control,1
Force Detroit,CAND_0213,2021-05-01,CVI,10
Force Detroit,CAND_0213,2021-05-01,Matched Control,2
Force Detroit,CAND_0213,2021-06-01,CVI,1
Force Detroit,CAND_0213,2021-06-01,Matched Control,1
Force Detroit,CAND_0213,2021-07-01,CVI,6
Force Detroit,CAND_0213,2021-07-01,Matched Control,2
Force Detroit,CAND_0213,2021-08-01,CVI,5
Force Detroit,CAND_0213,2021-08-01,Matched Control,1
Force Detroit,CAND_0213,2021-09-01,CVI,7
Force Detroit,CAND_0213,2021-09-01,Matched Control,4
Force Detroit,CAND_0213,2021-10-01,CVI,4
Force Detroit,CAND_0213,2021-10-01,Matched Control,2
Force Detroit,CAND_0213,2021-11-01,CVI,3
Force Detroit,CAND_0213,2021-11-01,Matched Control,1
Force Detroit,CAND_0213,2021-12-01,CVI,5
Force Detroit,CAND_0213,2021-12-01,Matched Control,3
Force Detroit,CAND_0213,2022-01-01,CVI,2
Force Detroit,CAND_0213,2022-01-01,Matched Control,1
Force Detroit,CAND_0213,2022-02-01,CVI,0
Force Detroit,CAND_0213,2022-02-01,Matched Control,1
Force Detroit,CAND_0213,2022-03-01,CVI,2
Force Detroit,CAND_0213,2022-03-01,Matched Control,3
Force Detroit,CAND_0213,2022-04-01,CVI,3
Force Detroit,CAND_0213,2022-04-01,Matched Control,1
Force Detroit,CAND_0213,2022-05-01,CVI,5
Force Detroit,CAND_0213,2022-05-01,Matched Control,4
Force Detroit,CAND_0213,2022-06-01,CVI,3
Force Detroit,CAND_0213,2022-06-01,Matched Control,2
Force Detroit,CAND_0213,2022-07-01,CVI,3
Force Detroit,CAND_0213,2022-07-01,Matched Control,6
Force Detroit,CAND_0213,2022-08-01,CVI,9
Force Detroit,CAND_0213,2022-08-01,Matched Control,3
